Symbol,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
BHGE,27.5,305.56,2.4991322,-0.31,57.73,28.03,32995712852,285000000,1.9390045,2.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHGE
BLL,38.44,20.56,1.0170354,0.85,43.24,35.6,13767688518,1317000000,1.5696399,3.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLL
BAC,29.74,16.34,1.536,1.55,32.67,22.07,3.21478E+11,0,3.2011874,1.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC
BAX,62.56,25.12,0.97635394,1.29,72.58,48.15,35713732553,1832000000,3.4394414,3.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAX
BBT,51.07,16.26,2.4526198,2.74,55.99,41.17,42087562920,0,3.4552107,1.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBT
BDX,211.44,22.28,1.3518385,4.65,248.3888,175.66,50910180308,1537000000,5.6912947,3.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX
BRK.B,191.42,30.43,0,9.76,217.62,160.93,2.61401E+11,0,1.4328232,1.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK.B
BBY,68.79,19.22,1.9085041,3.81,78.59,41.67,20831186176,2555000000,0.76715523,4.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY
BIIB,311.79,14.3,0,11.94,370.57,244.28,69157726427,6511400000,5.737439,5.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB
BLK,509.38,22.49,2.1643558,30.3,594.52,368,85907759858,5684000000,6.9158196,2.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK
HRB,25.19,12.29,3.7296038,1.92,31.8,19.85,5381433872,894754000,2.0188456,205.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRB
BA,329.66,27.29,1.9648397,13.47,361.45,163.69,2.05617E+11,12476000000,2.1560605,182.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA
BWA,51.94,14.15,1.2363636,0.55,58.22,37.54,11596117445,867900000,1.5831376,2.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA
BXP,112.09,18.05,2.7744062,2.93,140.13,111.87,17799878487,1546846000,6.839459,3.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP
BSX,25.2,20,0,0.07,29.93,23.29,36142506007,1726000000,4.055685,4.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX
BHF,55.44,22.63,0,-24.62,75,52.751,7066613254,0,1.4188358,0.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHF
BMY,62.69,20.83,2.5546863,2.65,66.1,51.12,1.02507E+11,5170000000,6.503231,6.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY
AVGO,229.57,15.94,2.9488583,4.01,285.68,202.61,92791974933,7016000000,6.961893,4.4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO
BF.B,63.33,37.04,1.1216964,1.7,69.9028,45.415,5498033502,1139000000,1.8411398,12.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BF.B
CHRW,90.47,26,1.987685,3.57,100.18,63.41,12932483889,868096000,0.85282737,9.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW
CA,32.66,14.32,3,1.85,36.56,30.45,14175422936,1613000000,3.3742425,2.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CA
COG,23.01,60.55,1.0269576,-0.92,29.57,21.4,10808821635,404951000,8.636729,4.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COG
CDNS,36.82,34.09,0,0.74,46,29.01,10890625200,455607000,5.751737,10.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS
CPB,44.83,14.84,3.125,2.89,64.23,43.5,13467193376,1683000000,2.3898203,7.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB
COF,91.8,11.85,1.6306564,3.45,106.5,76.05,47637260000,0,1.5931405,0.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF
CAH,66.63,12.29,2.8394227,4.04,84.88,54.66,20493281175,1913000000,0.21131156,3.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH
KMX,64.34,19.44,0,3.97,77.64,54.29,11827453706,1339628000,0.6913859,3.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX
CCL,66.76,17.48,2.6041667,3.58,72.7,54.75,49180044050,4711000000,2.8147783,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL
CAT,145.99,21.22,2.0215108,1.26,173.24,90.34,91822049046,8136000000,2.0468428,5.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT
CBOE,111.15,35.06,0.9426963,2.27,138.54,76.75,12998295607,488406000,8.249042,5.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE
CBG,41.92,15.82,0,1.69,46.6,30.43,14440591731,1652961000,1.4622321,3.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBG
CBS,51.8,12.05,1.3473054,2.81,70.095,52.75,20431395736,2841000000,2.1055017,6.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBS
CELG,91.02,13.27,0,3.58,147.17,92.85,74921079154,5233000000,5.830071,7.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CELG
CNC,100.36,19.12,0,3.23,112.42,65.03,18012494506,2063000000,0.5028663,2.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNC
CNP,25.85,19.73,4.2109256,1,30.45,25.51,11362043297,2337000000,1.6262617,3.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP
CTL,16.2,8.35,12.661196,1.16,27.61,13.161,18237196861,5577000000,1.4795984,1.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTL
CERN,61.22,27.09,0,1.84,73.86,51.2617,21101697598,1523440000,5.5560412,4.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CERN
CF,37.46,-59.46,3.0395136,-1.2,43.98,25.04,9209106695,711000000,3.0044448,2.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF
SCHW,48.9,29.82,0.76878726,1.61,56.25,37.16,69750188843,0,7.949615,4.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW
CHTR,348.65,162.92,0,34.08,408.83,308.3,86708878113,14694000000,2.1208634,2.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR
CHK,2.82,4.7,0,-6.44,6.59,2.8,2626102121,1470000000,0.40765184,1.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHK
CVX,112.3,27.52,3.885853,4.85,133.88,102.55,2.18979E+11,28877000000,1.6489863,1.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX
CMG,266.01,45.86,0,0.8,499,263,7685283970,401293000,2.5523853,6.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG
CB,140.39,17.5,1.9251627,8.2,157.5,130.17,68424670566,0,2.0985637,1.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB
CHD,47.38,24.42,1.8366054,2.92,54.1799,43.21,11838963451,868000000,3.1682448,6.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHD
CI,189.27,18.11,0.020466639,7.2,227.13,141.93,47680910480,0,1.550762,3.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI
XEC,100.19,26.37,0.30214334,-4.64,136.31,89.49,10089082025,1061056000,7.556446,4.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XEC
CINF,70.34,27.48,2.918904,3.55,81.98,68.24,11916533018,0,2.756679,1.6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINF
CTAS,149.32,32.75,1.0344827,4.38,169.96,113.79,16676145923,1097295000,2.7614057,6.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTAS
